standard_type,(null),<,<=,=,>,>=,~,total,pct_censored_or_null
IC50,2022,290,4,12021,4773,16,4,19130,37.2
Inhibition,1331,226,2,6219,30,0,0,7808,20.4
Ki,952,67,0,1815,855,0,0,3689,50.8
kon,0,0,0,2946,0,0,0,2946,0.0
k_off,0,0,0,2946,0,0,0,2946,0.0
AC50,0,0,0,498,1325,0,0,1823,72.7
Potency,679,0,0,0,0,0,0,679,100.0
Activity,143,9,16,316,67,0,0,551,42.6
EC50,13,6,0,203,30,0,1,253,19.8
delta pIC50 wt-mutant,0,0,0,200,0,0,0,200,0.0
INH,0,4,0,129,64,0,0,197,34.5
IC20,26,8,0,95,35,0,0,164,42.1
pIC50,129,0,0,1,0,0,0,130,99.2
IP,0,0,0,107,5,0,0,112,4.5
K,2,0,0,90,0,0,0,92,2.2
TIME,0,0,0,50,0,0,0,50,0.0
Kd,1,0,0,46,0,0,0,47,2.1
Ratio IC50,0,0,0,34,0,0,0,34,0.0
IC25,0,0,0,23,10,0,0,33,30.3
pKi,31,0,0,0,0,0,0,31,100.0
Ratio,0,0,0,31,0,0,0,31,0.0
% Ctrl,0,0,0,29,0,0,0,29,0.0
FC,0,0,0,19,5,0,0,24,20.8
Imax,1,0,0,16,0,0,1,18,11.1
Inflection point,0,0,0,12,1,0,0,13,7.7
Log IC50,6,0,0,0,0,0,0,6,100.0
Ratio Ki,0,0,0,6,0,0,0,6,0.0
Inhibitory activity,0,0,0,5,0,0,0,5,0.0
XC50,0,0,0,2,2,0,0,4,50.0
QT interval,4,0,0,0,0,0,0,4,100.0
EC10,0,0,0,3,0,0,0,3,0.0
pXC50,0,0,0,2,0,0,0,2,0.0
V1/2,0,0,0,2,0,0,0,2,0.0
% of inhibition,0,0,0,2,0,0,0,2,0.0
%max,0,0,0,2,0,0,0,2,0.0
% of control,0,0,0,2,0,0,0,2,0.0
% of inhibition or stimulation,0,0,0,1,0,0,0,1,0.0
EC25,0,0,0,1,0,0,0,1,0.0
Fold change,0,0,0,1,0,0,0,1,0.0
Emax,0,0,0,1,0,0,0,1,0.0
ED50,0,0,0,1,0,0,0,1,0.0
IC5,0,0,0,1,0,0,0,1,0.0
Inhibition of control,0,0,0,0,1,0,0,1,100.0
IC60,0,0,0,0,1,0,0,1,100.0
Time,1,0,0,0,0,0,0,1,100.0
effect,0,0,0,1,0,0,0,1,0.0
