activity_comment,n,pct
,25154,61.23
Not Determined,1874,4.56
"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")",1822,4.44
Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,1670,4.07
inconclusive,372,0.91
active,281,0.68
Active,231,0.56
Inactive,186,0.45
Weakly active,69,0.17
Not Active,46,0.11
ND,35,0.09
inactive,32,0.08
Highly active,29,0.07
NA,19,0.05
Dose-dependent effect,12,0.03
Nd(Insoluble),12,0.03
At Top Concentration,7,0.02
Non-Toxic,4,0.01
340971,4,0.01
340970,4,0.01
340969,4,0.01
616513,3,0.01
792959,3,0.01
887432,3,0.01
955372,3,0.01
971795,3,0.01
1059711,3,0.01
1062262,3,0.01
1062278,3,0.01
1062318,3,0.01
1273885,3,0.01
1062310,3,0.01
1275132,3,0.01
1273843,3,0.01
887789,3,0.01
1273849,3,0.01
659963,3,0.01
1273855,3,0.01
830632,3,0.01
1273861,3,0.01
659903,3,0.01
1273867,3,0.01
1062281,3,0.01
1273869,3,0.01
659907,3,0.01
1273871,3,0.01
830634,3,0.01
1273873,3,0.01
659911,3,0.01
1273795,3,0.01
887791,3,0.01
1273801,3,0.01
659915,3,0.01
1273807,3,0.01
830636,3,0.01
1273813,3,0.01
659983,3,0.01
1273819,3,0.01
971785,3,0.01
1273825,3,0.01
659987,3,0.01
1273831,3,0.01
830638,3,0.01
1273837,3,0.01
659991,3,0.01
1273747,3,0.01
923615,3,0.01
1273753,3,0.01
659995,3,0.01
1273759,3,0.01
830453,3,0.01
1273765,3,0.01
659935,3,0.01
1273771,3,0.01
1062272,3,0.01
1273777,3,0.01
659939,3,0.01
1273783,3,0.01
830610,3,0.01
1273789,3,0.01
659943,3,0.01
1273699,3,0.01
923617,3,0.01
1273705,3,0.01
659947,3,0.01
1273711,3,0.01
830612,3,0.01
1273717,3,0.01
660015,3,0.01
1273723,3,0.01
971787,3,0.01
1273729,3,0.01
660019,3,0.01
1273735,3,0.01
830614,3,0.01
1273741,3,0.01
660023,3,0.01
1273651,3,0.01
923619,3,0.01
1273657,3,0.01
660027,3,0.01
1273663,3,0.01
830648,3,0.01
1273669,3,0.01
659967,3,0.01
1273675,3,0.01
1062237,3,0.01
1273681,3,0.01
659971,3,0.01
1273687,3,0.01
830650,3,0.01
1273693,3,0.01
659975,3,0.01
1262057,3,0.01
943930,3,0.01
1262059,3,0.01
659979,3,0.01
1262061,3,0.01
830652,3,0.01
1262063,3,0.01
660047,3,0.01
1262065,3,0.01
971757,3,0.01
1262067,3,0.01
660051,3,0.01
1273639,3,0.01
830654,3,0.01
1273645,3,0.01
660055,3,0.01
1247545,3,0.01
887801,3,0.01
1247547,3,0.01
660059,3,0.01
1247549,3,0.01
830624,3,0.01
1247551,3,0.01
659999,3,0.01
1247553,3,0.01
1062289,3,0.01
1247555,3,0.01
660003,3,0.01
1259350,3,0.01
830626,3,0.01
1259352,3,0.01
660007,3,0.01
1247529,3,0.01
887803,3,0.01
1247531,3,0.01
660011,3,0.01
1247533,3,0.01
830628,3,0.01
1247535,3,0.01
660079,3,0.01
1247537,3,0.01
971759,3,0.01
1247539,3,0.01
660083,3,0.01
1247541,3,0.01
830630,3,0.01
1247543,3,0.01
660087,3,0.01
1236140,3,0.01
911951,3,0.01
1236144,3,0.01
660091,3,0.01
1236147,3,0.01
830664,3,0.01
1247519,3,0.01
660031,3,0.01
1247521,3,0.01
1062239,3,0.01
1247523,3,0.01
660035,3,0.01
1247525,3,0.01
830666,3,0.01
1247527,3,0.01
660039,3,0.01
1216169,3,0.01
911953,3,0.01
1216173,3,0.01
660043,3,0.01
1231440,3,0.01
852488,3,0.01
1236123,3,0.01
660111,3,0.01
1236127,3,0.01
971761,3,0.01
1236130,3,0.01
660115,3,0.01
1236134,3,0.01
852495,3,0.01
1236137,3,0.01
660119,3,0.01
852498,3,0.01
1062283,3,0.01
660123,3,0.01
830640,3,0.01
1216145,3,0.01
951741,3,0.01
1216149,3,0.01
660063,3,0.01
1216153,3,0.01
1273883,3,0.01
1216157,3,0.01
660067,3,0.01
1216161,3,0.01
830642,3,0.01
1216165,3,0.01
660071,3,0.01
1171008,3,0.01
951743,3,0.01
1171010,3,0.01
660075,3,0.01
1216119,3,0.01
830644,3,0.01
1216123,3,0.01
660143,3,0.01
1216127,3,0.01
971763,3,0.01
1216131,3,0.01
660147,3,0.01
1216135,3,0.01
830646,3,0.01
1216139,3,0.01
660151,3,0.01
1170992,3,0.01
951746,3,0.01
1170994,3,0.01
660155,3,0.01
1170996,3,0.01
852525,3,0.01
1170998,3,0.01
660095,3,0.01
1171000,3,0.01
1059690,3,0.01
1171002,3,0.01
660099,3,0.01
1171004,3,0.01
852531,3,0.01
1171006,3,0.01
660103,3,0.01
1170976,3,0.01
951750,3,0.01
1170978,3,0.01
660107,3,0.01
1170980,3,0.01
852537,3,0.01
1170982,3,0.01
660175,3,0.01
1170984,3,0.01
971797,3,0.01
1170986,3,0.01
660179,3,0.01
1170988,3,0.01
852543,3,0.01
1170990,3,0.01
660183,3,0.01
1170960,3,0.01
923607,3,0.01
1170962,3,0.01
660187,3,0.01
1170964,3,0.01
830656,3,0.01
1170966,3,0.01
660127,3,0.01
1170968,3,0.01
1275133,3,0.01
1170970,3,0.01
660131,3,0.01
1170972,3,0.01
830658,3,0.01
1170974,3,0.01
660135,3,0.01
1170944,3,0.01
923609,3,0.01
1170946,3,0.01
660139,3,0.01
1170948,3,0.01
830660,3,0.01
1170950,3,0.01
660207,3,0.01
1170952,3,0.01
980681,3,0.01
1170954,3,0.01
660211,3,0.01
1170956,3,0.01
830662,3,0.01
1170958,3,0.01
660215,3,0.01
1168672,3,0.01
923611,3,0.01
1168684,3,0.01
707130,3,0.01
1168696,3,0.01
879212,3,0.01
1168708,3,0.01
660159,3,0.01
1168720,3,0.01
1059692,3,0.01
1168732,3,0.01
660163,3,0.01
1168744,3,0.01
879214,3,0.01
1168756,3,0.01
660167,3,0.01
1168571,3,0.01
923613,3,0.01
1168583,3,0.01
660171,3,0.01
1168595,3,0.01
884136,3,0.01
1168612,3,0.01
714791,3,0.01
1168624,3,0.01
980683,3,0.01
1168636,3,0.01
714793,3,0.01
1168648,3,0.01
884138,3,0.01
1168660,3,0.01
