assay_chembl_id,n_records,n_compounds,types,year,confidence_score,cell_name,description
CHEMBL5291828,1822,1804,AC50,2023.0,8,,"Compound was evaluated for inhibition of human KCNH2 in an in vitro assay with cellular components measured by membrane filtration, radioactivity method"
CHEMBL1909190,1742,871,IC50|Ki,,8,HEK293,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)
CHEMBL5732052,1344,321,Ki|k_off|kon,2019.0,9,,"Kv11.1 (hERG) ION CHANNEL ACTIVITY (Patch Clamp Assay): Method for the detection and characterisation of test substances which interfere with the Kv11.1 (hERG) channel: Kv11.1 (hERG, human ether a-go-go related gene) is a potassium channel which plays a central role for repolarisation of the cells in the ventricular cardiomyocytes.The patch-clamp measurement was carried out at room temperature in whole-cell configuration on human embryonic kidney cells (HEK293) which have been transfected in a stable manner with the hERG gene.The whole-cell configurations were carried out using an automated patch clamp device (Patchliner, Nanion Technologies, Munich). This is a glass chip-based system with which automated whole-cell measurements on up to 8 cells simultaneously are possible. The glass chip has a hole of defined size to which the cell is transferred into the Gigaseal by application of a reduced pressure and brought into the whole-cell configuration. Buffer, cell suspension and test substances were added to microchannels of the chip using a Teflon-coated pipette. The cells were clamped to a holding potential of −80 mV. For measurement of substancepromoted inhibition of the Kv11.1 channel, the following voltage protocol was applied at 10-second intervals: 51 ms/−80 mV, 500 ms/+40 mV, 500 ms/−40 mV, 200 ms/−80 mV. The leakage current is subtracted by means of the P4 method. The cells were resuspended in extracellular buffer (EC) and applied to the chip. After the cell had been collected, the seal was improved by addition of a seal enhancer buffer. As soon as the whole-cell configuration had been reached, the seal enhancer buffer was washed out and replaced by extracellular buffer. The measurement started in EC for 1.5 min. DMSO (vehicle control, 0.1% of DMSO) was then applied, and the control current was recorded for 3 min. The test substance was subsequently added twice in the same concentration, and the potassium current was measured for 3.5 min in each case.If the measurement result of a test substance at an initial concentration of 10 μM was smaller than (−)50% effect (threshold value) (for example (−)60% effect), the test substance was, in order to determine a dose/action relationship, added cumulatively in increasing concentration, where each concentration was measured for 5 min.The reference substance used was the Kv11.1 (hERG) ion channel blocker quinidine. The effects of test substances and quinidine were standardised to the associated vehicle control. The effect on the Kv11.1 (hERG) channel activity was assessed from the potassium current at −40 mV. For the calculation, the current was evaluated for the respective final trace. A test-substance-induced inhibition of the Kv11.1(hERG) channel was standardised to the vehicle control (0.1% of DMSO).During the measurement, an aliquot of the test substance was taken for concentration determination. The sample was measured immediately by HPLC, and the final concentration was determined from a calibration curve."
CHEMBL5732504,1344,322,Ki|k_off|kon,2017.0,9,,"Patch Clamp Assay: The patch-clamp measurement was carried out at room temperature in whole-cell configuration on human embryonic kidney cells (HEK293) which have been transfected in a stable manner with the hERG gene.The whole-cell configurations were carried out using an automated patch clamp device (Patchliner, Nanion Technologies, Munich). This is a glass chip-based system with which automated whole-cell measurements on up to 8 cells simultaneously are possible. The glass chip has a hole of defined size to which the cell is transferred into the Gigaseal by application of a reduced pressure and brought into the whole-cell configuration. Buffer, cell suspension and test substances were added to microchannels of the chip using a Teflon-coated pipette. The cells were clamped to a holding potential of -80 mV. For measurement of substance-promoted inhibition of the Kv11.1 channel, the following voltage protocol was applied at 10-second intervals: 51 ms/-80 mV, 500 ms/+40 mV, 500 ms/-40 mV, 200 ms/-80 mV. The leakage current is subtracted by means of the P4 method. The cells were resuspended in extracellular buffer (EC) and applied to the chip. After the cell had been collected, the seal was improved by addition of a seal enhancer buffer. As soon as the whole-cell configuration had been reached, the seal enhancer buffer was washed out and replaced by extracellular buffer. The measurement started in EC for 1.5 min. DMSO (vehicle control, 0.1% of DMSO) was then applied, and the control current was recorded for 3 min. The test substance was subsequently added twice in the same concentration, and the potassium current was measured for 3.5 min in each case."
CHEMBL1794573,679,661,Potency,,8,,PUBCHEM_BIOASSAY: qHTS Assay for Small Molecule Inhibitors of the Human hERG Channel Activity. (Class of assay: confirmatory) 
CHEMBL3301459,400,400,Inhibition,,9,,"MMV: Malaria Box compounds were tested for inhibition of the human ether a go-go related gene (hERG), Kv11.1 channel, using IonWorks 384-well patch clamp electrophysiology at 1.1uM (3 independent assay plates up to 12 cells per concentration)."
CHEMBL3301460,400,400,Inhibition,,9,,"MMV: Malaria Box compounds were tested for inhibition of the human ether a go-go related gene (hERG), Kv11.1 channel, using IonWorks 384-well patch clamp electrophysiology at 11.1uM (3 independent assay plates up to 12 cells per concentration)."
CHEMBL5735028,381,125,IC50|k_off|kon,2020.0,9,,"Binding Assay : hERG: The purpose of the hERG binding assay is to evaluate the effects of test compounds on the voltage-dependent potassium channel encoded by the human ether go go-related gene (hERG) using a constitutively expressing CHO cell line on the Nanion Syncropatch 384PE automated patch clamp system.The assay was conducted as follows with all reagents used at room temperature unless otherwise stated.Reagent Preparations Include:1. Internal ""IC700"" solution used to perfuse the underside of chip (in mM), KF 130, KCl 20, MgCl2 1, EGTA 10 and HEPES 10, (all Sigma-Aldrich; pH 7.2-7.3 using 10 M KOH, 320 mOsm) and supplemented with 25 μM escin.2. External and cell buffer (in mM), NaCl 137, KCl 4, HEPES 10, D-glucose 10, CaCl2 2, MgCl2 1 (pH7.4, NaOH)3. NMDG ""reference"" buffer used to establish a stable baseline prior to the addition of test compounds, NaCl 80, KCl 4, CaCl2 2, MgCl2 1, NMDG Cl 60, D-Glucose monohydrate 5, HEPES 10 (pH7.4 NaOH 298 mOsm)4. Seal enhancer used to improve seal quality of cells, NaCl 80, KCl 3, CaCl2 10, HEPES 10, MgCl2 1 (pH7.4 NaOH)"
CHEMBL5737036,381,125,IC50|k_off|kon,2021.0,9,,"hERG Binding Assa: hERG (human ether a go go-related gene) potassium channels are essential for normal electrical activity in the heart. Arrhythmia can be induced by a blockage of hERG channels by a diverse group of drugs. This side effect is a common reason for drug failure in preclinical safety trials [Sanguinetti et al., Nature, 2006, 440, 463-469.] and therefore minimisation of hERG channel blocking activity may be a desirable property for drug candidates.The purpose of the hERG binding assay is to evaluate the effects of test compounds on the voltage-dependent potassium channel encoded by the human ether go go-related gene (hERG) using a constitutively expressing CHO cell line on the Nanion Syncropatch 384PE automated patch clamp system."
CHEMBL5733101,381,126,IC50|k_off|kon,2019.0,9,,"hERG Binding Assay: hERG (human ether a go go-related gene) potassium channels are essential for normal electrical activity in the heart. Arrhythmia can be induced by a blockage of hERG channels by a diverse group of drugs. This side effect is a common reason for drug failure in preclinical safety trials [Sanguinetti et al., Nature, 2006, 440, 463-469.] and therefore minimisation of hERG channel blocking activity may be a desirable property for drug candidates.The purpose of the hERG binding assay is to evaluate the effects of test compounds on the voltage-dependent potassium channel encoded by the human ether go go-related gene (hERG) using a constitutively expressing CHO cell line on the Nanion Syncropatch 384PE automated patch clamp system."
