molregno,n_records,n_assays,n_docs,n_types,pref_name,inchikey
557741,67,61,48,8,CISAPRIDE,DCSUBABJRXZOMT-UHFFFAOYSA-N
19569,41,38,34,6,TERFENADINE,GUGOEEXESWIERI-UHFFFAOYSA-N
428371,38,38,1,3,,VWNMWKSURFWKAL-HXOBKFHXSA-N
65605,38,34,31,6,ASTEMIZOLE,GXDALQBWZGODGZ-UHFFFAOYSA-N
1219,33,32,27,4,VERAPAMIL,SGTNSNPWRIOYBX-UHFFFAOYSA-N
5638,32,30,23,8,DOFETILIDE,IXTMWRCNAAVVAI-UHFFFAOYSA-N
121485,32,32,32,2,REL-CISAPRIDE,DCSUBABJRXZOMT-RBBKRZOGSA-N
2998991,30,2,2,3,,PCPCDRDQIBENHU-UHFFFAOYSA-N
2985115,30,2,2,3,,MOWXJLUYGFNTAL-UHFFFAOYSA-N
152611,27,27,24,3,,SRUISGSHWFJION-UHFFFAOYSA-N
3223711,27,9,8,3,,GXJBVCKDEHELEL-UHFFFAOYSA-N
3143852,24,2,2,3,,JEOIEFCSPPXNAG-UHFFFAOYSA-N
7714,24,22,22,4,RISPERIDONE,RAPZEAPATHNIPO-UHFFFAOYSA-N
1448253,24,22,1,5,DARUISOLINE,BURJAQFYNVMZDV-FIRIVFDPSA-N
3194883,24,2,2,3,,YNJIBQSLMOPTQF-UHFFFAOYSA-N
3859,23,21,21,5,HALOPERIDOL,LNEPOXFFQSENCJ-UHFFFAOYSA-N
2261,21,19,17,5,CLOZAPINE,QZUDBNBUXVUHMW-UHFFFAOYSA-N
72035,21,21,19,4,MIBEFRADIL,HBNPJJILLOYFJU-VMPREFPWSA-N
27072,20,19,18,4,AMITRIPTYLINE,KRMDCWKBEZIMAB-UHFFFAOYSA-N
1788,20,20,15,5,MOXIFLOXACIN,FABPRXSRWADJSP-MEDUHNTESA-N
2832775,19,18,9,4,LEVOFLOXACIN,SUIQUYDRLGGZOL-RCWTXCDDSA-N
548840,19,18,13,4,,ZQBNWMFBOSOOLX-UHFFFAOYSA-N
3179445,18,2,2,3,,NGKARPNDTRDPQL-UHFFFAOYSA-N
3165137,18,2,2,3,,MBESFUDQRFVLFJ-UHFFFAOYSA-N
3215632,18,2,2,3,,XNDMXGNHPWCDKX-UHFFFAOYSA-N
3164718,18,2,2,3,,QSHKWVVOMGJBJQ-UHFFFAOYSA-N
3184737,18,2,2,3,,BWGYCECICQRZBD-UHFFFAOYSA-N
3267667,18,2,2,3,,UUXRSDRUPOEDCD-UHFFFAOYSA-N
3212295,18,2,2,3,,SRSGLQYXZLUTFB-UHFFFAOYSA-N
2993025,18,2,2,3,,FPGGVKYDWGTPRN-UHFFFAOYSA-N
2992381,18,2,2,3,,WYEVURVICOACEU-UHFFFAOYSA-N
3209486,18,2,2,3,,RRCYTFPMQJMLJV-UHFFFAOYSA-N
2997477,18,2,2,3,,OWOGJPGABWHWIU-UHFFFAOYSA-N
3137010,18,2,2,3,,ALDDQCBBKGTAJI-UHFFFAOYSA-N
3025834,18,2,2,3,,WKLHRHOHIWMJCS-UHFFFAOYSA-N
3158813,18,2,2,3,,IVAQITIIINVXDO-UHFFFAOYSA-N
2961601,18,2,2,3,,QZQZLQSAQQUISA-UHFFFAOYSA-N
3020246,18,2,2,3,,PKBPQGNBNQFAKJ-UHFFFAOYSA-N
3018139,18,2,2,3,,BIYBXRUQFCDOHJ-UHFFFAOYSA-N
3272614,18,2,2,3,,ROTFCYSSIJCDLR-UHFFFAOYSA-N
3272347,18,2,2,3,,OTIHBNMSAHVGDN-UHFFFAOYSA-N
3004149,18,2,2,3,,DZAPMQOMKQTQIL-UHFFFAOYSA-N
2991245,18,2,2,3,,IPOFTWPZUKXNTC-UHFFFAOYSA-N
2994695,18,2,2,3,,YUNSFHVJJPXAJL-UHFFFAOYSA-N
