assay_chembl_id,assay_description
CHEMBL1027667,Inhibition of human ERG channel
CHEMBL1036924,Inhibition of human recombinant ERG Y652A mutant expressed in CHOK1 cells by whole-cell plate-based electrophysiology
CHEMBL1040540,Displacement of dofetilide from human ERG
CHEMBL1041011,Displacement of dofrtilide from human ERG channel
CHEMBL1043077,Inhibition of human ERG at 3 uM
CHEMBL1043202,Binding affinity to human ERG
CHEMBL1044431,Displacement of [3H]dofetilide from human ERG
CHEMBL1047209,Inhibition of human ERG
CHEMBL1052905,Inhibition of human ERG
CHEMBL1054528,Inhibition of human ERG expressed in HEK cells
CHEMBL1057876,Displacement of [3H]dofetilide from human ERG channel by scintillation proximity assay
CHEMBL1065722,Inhibition of human ERG
CHEMBL1066810,Inhibition of human ERG at 10 uM by patch clamp method
CHEMBL1070849,Inhibition of human ERG
CHEMBL1100678,Inhibition of human ERG at 10 nM
CHEMBL1101904,Displacement of [3H]dofetilide from human ERG expressed in HEK293 cells
CHEMBL1106923,Displacement of [3H]dofetilide from human ERG by scintillation proximity assay
CHEMBL1114477,Inhibition of human ERG potassium channel
CHEMBL1118597,Displacement of [3H]dofetidile from human ERG by whole-cell patch clamp
CHEMBL1118860,Inhibition of human ERG expressed in HEK297 cells at 10 uM after 3 to 8 mins by voltage clamp assay
CHEMBL1272988,Inhibition of human ERG
CHEMBL1780724,Inhibition of human ERG at 1 uM
CHEMBL1781387,Inhibition of human ERG by voltage-clamp electrophysiology
CHEMBL1785980,Inhibition of human ERG at 10 uM by whole cell voltage clamp technique
CHEMBL1804921,Inhibition of human hERG
CHEMBL1811063,Inhibition of human ERG by electrophysiological assay
CHEMBL1918922,Binding affinity to human Erg at 10 uM
CHEMBL1924405,Inhibition of human ERG at 10 uM by rubidium efflux assay
CHEMBL1930402,Inhibition of human ERG
CHEMBL2024833,Inhibition of human ERG by electrophysiology assay
CHEMBL2025095,Inhibition of human ERG
CHEMBL2026445,Inhibition of human ERG
CHEMBL2033832,Inhibition of human Erg expressed in HEK293 cells by whole cell patch clamp analysis
CHEMBL2038474,Inhibition of human ERG
CHEMBL2049748,Inhibition of human ERG
CHEMBL2173338,Inhibition of human ERG expressed in HEK 293 cells by PatchXpress assay
CHEMBL2173975,Inhibition of human ERG expressed in HEK293 cells at 10 uM by electrophysiological ion flux assay
CHEMBL2176196,Inhibition of human ERG
CHEMBL2215013,Inhibition of human recombinant ERG expressed in HEK293 cells up to 100 uM after 5 to 10 mins by conventional whole-cell patch clamp assay
CHEMBL2215806,Inhibition of human ERG in HEK cells by ion flux electrophysiology assay
CHEMBL2216324,Displacement of [3H]-astemizole from human ERG expressed in HEK293 cells after 1 hr by scintillation counting analysis
CHEMBL2217327,Inhibition of human ERG stepped current expressed in HEK293 cells at + 20 mV holding potential by patch clamp assay
CHEMBL2217336,Inhibition of human ERG tail current expressed in HEK293 cells assessed as half activation potential for steady state inactivation curve at 10 uM by patch clamp assay (Rvb = - 48.7 +/- 7.6 mV)
CHEMBL2217340,Inhibition of human ERG tail current expressed in HEK293 cells at - 80 mV to + 0 mV holding potential at 10 uM by patch clamp assay
CHEMBL2327740,Inhibition of human ERG expressed in HEK293 cells by patch clamp assay
CHEMBL2339897,Inhibition of human ERG
CHEMBL2346000,Inhibition of human ERG channel
CHEMBL2390460,Inhibition of human ERG
CHEMBL2395084,Displacement of [3H]Astemizole from human recombinant ERG expressed in HEK293 cells at after 60 mins
CHEMBL2405371,Inhibition of human ERG
CHEMBL2406355,Inhibition of human ERG by dofetilide binding assay
CHEMBL2412551,Inhibition of human ERG at 0.1 uM relative to control
CHEMBL2432176,Inhibition of human ERG by patch clamp assay
CHEMBL2443479,Inhibition of human ERG by electrophysiology assay
CHEMBL3116554,Inhibition of human ERG channel at 30 uM by ionworks assay
CHEMBL3122291,Inhibition of human ERG
CHEMBL3291975,Inhibition of human ERG tail current after 5 mins by patch-clamp method
CHEMBL3294033,Inhibition of human ERG by patch clamp electrophysiological analysis
CHEMBL3362479,Inhibition of human ERG expressed in CHO cells up to 30 uM by electrophysiology
CHEMBL3367517,Binding affinity to human ERG
CHEMBL3369560,Inhibition of human ERG
CHEMBL3371044,Inhibition of human ERG at 10 uM
CHEMBL3381295,Inhibition of human ERG channel by patch clamp technique
CHEMBL3385491,Inhibition of human ERG channel by patch-clamp assay
CHEMBL3385976,Inhibition of human ERG expressed in CHO-K1 cells by automated whole-cell patch-clamp electrophysiology method
CHEMBL3412836,Inhibition of human ERG channel
CHEMBL3419125,Inhibition of human ERG expressed in CHO cells by automated Qpatch clamp assay
CHEMBL3420643,Inhibition of human ERG channel expressed in CHO cells at 1.1 uM by patch clamp method
CHEMBL3425006,Inhibition of human ERG expressed in HEK293 cells after 5 mins by patch-clamp assay
CHEMBL3430329,Inhibition of rapid delayed inward rectifying potassium current (IKr) measured using manual patch clamp assay
CHEMBL3430347,Inhibition of rapid delayed inward rectifying potassium current (IKr) measured using manual patch clamp assay
CHEMBL3430627,Inhibition of hERG K channel
CHEMBL3430707,Inhibition of rapid delayed inward rectifying potassium current (IKr) in Chinese hamster ovary (CHO) K1 cells stably expressing hERG measured using IonWorks Quattro automated patch clamp platform
CHEMBL3430734,Inhibition of rapid delayed inward rectifying potassium current (IKr) in Chinese hamster ovary (CHO) cells stable expressing hERG measured using IonWorks Barracuda automated patch clamp platform
CHEMBL3430741,Inhibition of rapid delayed inward rectifying potassium current (IKr) in Chinese hamster ovary (CHO) cells stable expressing hERG measured using IonWorks Barracuda automated patch clamp platform
CHEMBL3588589,Inhibition of human ERG
CHEMBL3602243,Displacement of [3H]-astemizole from human ERG up to 100 uM
CHEMBL3615015,Inhibition of human ERG assessed as reduction of tail current at 10 umol/L
CHEMBL3742791,Induction of dissociation of [3H]-dofetilide from Kv11.1 channel (unknown origin) assessed as dissociation rate expressed in HEK293 cells after 1 hr
CHEMBL3744162,Inhibition of human ERG at 100 uM by patch clamp assay
CHEMBL3744482,Inhibition of human ERG at 0.1 uM by patch-clamp method
CHEMBL3750583,Inhibition of MK-499 binding to human ERG
CHEMBL3796230,Inhibition of human ERG
CHEMBL3803537,Inhibition of human ERG by patch clamp method
CHEMBL3807653,Inhibition of human ERG expressed in CHOK1 cells assessed as inhibition of tail current at 1 uM after 5 mins by automated whole-cell patch clamp assay relative to control
CHEMBL3811000,Inhibition of human ERG expressed in HEK293 cells at 30 uM by patch clamp assay
CHEMBL3815833,Inhibition of recombinant human ERG expressed in HEK293 cells assessed as inhibition of peak tail current by patch clamp assay
CHEMBL3831061,Inhibition of human ERG by flux-based assay
CHEMBL3858245,Inhibition of human ERG
CHEMBL3858850,Inhibition of human ERG expressed in HEK293 cells assessed as reduction in maximal tail current at 3 uM and holding potential of -60 mV measured after 5 mins by patch-clamp assay
CHEMBL3861366,Inhibition of human ERG
CHEMBL3869650,Inhibition of human ERG by electrophysiology method
CHEMBL3880243,Inhibition of human ERG at 500 nM
CHEMBL3880277,Inhibition of human ERG expressed in HEK293 cells assessed as decrease in tail current amplitude by whole cell patch clamp method
CHEMBL3880650,Inhibition of human ERG expressed in HEK293 cells at 10 uM at -80 mV holding potential by patch clamp assay
